1,指标名称,指标类别,频率,单位,来源,国家,更新时间
M0000272,固定资产投资完成额:累计值,macro_domestic实体经济,月,亿元,国家统计局,中国,2022-07-15
M5438207,民间固定资产投资完成额:累计值,macro_domestic实体经济,月,亿元,国家统计局,中国,2022-07-15
M0049802,全国国有企业:利润总额:累计值,macro_domestic实体经济,月,亿元,财政部,中国,2022-08-01
M6388362,投资景气指数:总体,macro_domestic实体经济,季,,国家统计局,中国,2022-04-29
s10,M2:同比-社会融资规模存量:同比,macro_domestic流动性,月,%,中国人民银行,中国,2022-08-12
M5206731,社会融资规模:新增人民币贷款:当月值,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-12
M0001486,国内信贷,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001489,国内信贷:对其他金融部门债权,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001487,国内信贷:对政府债权(净),macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001488,国内信贷:对非金融部门债权,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001380,M0,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001382,M1,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M0001384,M2,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M5206730,社会融资规模:当月值,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-12
M0010131,货币乘数,macro_domestic流动性,月,倍,中国人民银行,中国,2022-08-15
S0211686,7日年化收益率:余额宝(天弘),macro_domestic流动性,日,%,天弘基金管理有限公司,中国,2022-08-17
M0074413,理财产品预期年收益率:人民币:全市场:3个月,macro_domestic流动性,周,%,Wind,中国,2022-08-17
M0061614,公开市场操作:货币净投放,macro_domestic流动性,周,亿元,Wind,中国,2022-08-12
M5515072,中期借贷便利(MLF):期末余额,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-01
M0010129,基础货币余额,macro_domestic流动性,季,亿元,中国人民银行,中国,2022-07-14
M0010290,人民币存款准备金率:大型存款类金融机构(变动公告日期),macro_domestic流动性,日,%,中国人民银行,中国,2022-04-15
M0342076,人民币存款准备金率:中小型存款类金融机构(变动公告日期),macro_domestic流动性,日,%,中国人民银行,中国,2022-04-15
M0010096,超额存款准备金率(超储率):金融机构,macro_domestic流动性,季,%,中国人民银行,中国,2022-08-10
M0010048,官方储备资产:黄金(以盎司计算的纯金数量),macro_domestic流动性,月,万盎司,中国人民银行,中国,2022-08-07
M5639023,债券市场发行债券:国债,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-07-20
s11,全国政府性基金支出:累计值-全国政府性基金收入:累计值,macro_domestic流动性,月,亿元,财政部,中国,2022-08-17
M0024056,财政收支差额:当月值,macro_domestic流动性,月,亿元,国家统计局,中国,2022-08-17
M0010401,上证所:A股账户新增开户数:合计,macro_domestic流动性,月,户,沪深证券交易所,中国,2022-08-05
M0067862,信用账户新增开户投资者数:合计,macro_domestic流动性,月,户,沪深证券交易所,中国,2022-08-08
M5452815,投资者信心指数:总指数,macro_domestic流动性,月,,中国证券投资者保护基金公司,中国,2022-07-22
M6193259,新增投资者数量,macro_domestic流动性,月,万人,中国证券登记结算公司,中国,2022-08-08
M0060433,新成立基金份额:偏股型,macro_domestic流动性,日,亿份,Wind,中国,2022-08-18
M0024286,沪深股市:上市公司数(A、B股),macro_domestic流动性,月,家,中国证监会,中国,2022-08-10
M0089158,沪深股市:筹资金额:境内合计:当月值,macro_domestic流动性,月,亿元,中国证监会,中国,2022-08-10
M5543211,私募基金管理人:证券:家数,macro_domestic流动性,月,家,中国证券投资基金业协会,中国,2022-08-16
M6190159,第一财经研究院中国金融条件指数(月),macro_domestic流动性,月,%,第一财经研究院,中国,2022-08-08
M0009978,金融机构:存贷差,macro_domestic流动性,月,亿元,中国人民银行,中国,2022-08-15
M5524546,资产管理业务总规模,macro_domestic流动性,季,万亿元,中国证券投资基金业协会,中国,2022-07-07
M5481313,中国银行人民币离岸指数(ORI),macro_domestic跨境,季,%,公司网站,中国,2022-05-06
M5459673,中国银行人民币跨境指数(CRI),macro_domestic跨境,月,2011年4季=100,公司网站,中国,2022-03-09
M5405531,人民币直接投资结算业务:当月值,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-12
M5405536,跨境贸易人民币业务结算金额:合计:当月值,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-12
M0009946,金融机构:新增外汇各项存款:当月值,macro_domestic跨境,月,亿美元,中国人民银行,中国,2022-08-12
M0062676,银行代客结售汇顺差:当月值,macro_domestic跨境,月,亿美元,国家外汇管理局,中国,2022-08-15
M0000606,出口金额:当月值,macro_domestic跨境,月,亿美元,海关总署,中国,2022-08-18
M0000610,贸易差额:当月值,macro_domestic跨境,月,亿美元,海关总署,中国,2022-08-18
M5206848,差额:货物和服务:当季值,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2022-08-05
M0009947,金融机构:外汇各项存款余额,macro_domestic跨境,月,亿美元,中国人民银行,中国,2022-08-12
M0009948,金融机构:外汇各项存款余额:同比,macro_domestic跨境,月,%,中国人民银行,中国,2022-08-12
M5568504,经常账户:差额:当季值,macro_domestic跨境,季,亿元,国家外汇管理局,中国,2022-06-24
M5530735,金融账户:非储备性质的金融账户:差额:当季值,macro_domestic跨境,季,亿元,国家外汇管理局,中国,2022-08-05
M5568367,金融账户:非储备性质的金融账户:直接投资:差额:当季值,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2022-06-24
M5568368,金融账户:非储备性质的金融账户:证券投资:差额:当季值,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2022-06-24
M5481319,境外机构和个人持有境内人民币金融资产:债券,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-01
M5481321,境外机构和个人持有境内人民币金融资产:存款,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-01
M5481318,境外机构和个人持有境内人民币金融资产:股票,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-01
M0024339,外债余额,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2022-06-24
M5568778,国际投资头寸:净头寸(不含储备资产),macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2022-06-24
M0001485,国外净资产,macro_domestic跨境,月,亿元,中国人民银行,中国,2022-08-15
M0009870,实际使用外资金额:外商直接投资:当月值,macro_domestic跨境,月,亿美元,商务部,中国,2022-07-29
M5206875,差额:直接投资:外国在华直接投资:当季值,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2015-03-31
M5206874,差额:直接投资:我国在外直接投资:当季值,macro_domestic跨境,季,亿美元,国家外汇管理局,中国,2015-03-31
M0061686,万得一致预测:1年期存款利率,macro_domestic市场预期,月,%,Wind,中国,2022-08-12
M0061687,万得一致预测:1年期贷款利率,macro_domestic市场预期,月,%,Wind,中国,2022-06-28
M0061676,万得一致预测:CPI:当月同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-12
M0061673,万得一致预测:GDP:当季同比,macro_domestic市场预期,季,%,Wind,中国,2022-08-11
Y0910594,万得一致预测:M1:同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-04
M0061683,万得一致预测:M2:同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-12
M0331594,万得一致预测:PMI,macro_domestic市场预期,月,%,Wind,中国,2022-07-29
M0061677,万得一致预测:PPI:当月同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-10
M0061684,万得一致预测:人民币贷款:同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-12
M0061685,万得一致预测:人民币贷款:当月新增,macro_domestic市场预期,月,亿元,Wind,中国,2022-08-08
M0061680,万得一致预测:出口金额:当月同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-08
M0061678,万得一致预测:固定资产投资:累计同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-12
M0061675,万得一致预测:工业增加值:当月同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-04
M0061679,万得一致预测:社会消费品零售总额:当月同比,macro_domestic市场预期,月,%,Wind,中国,2022-08-04
M0331593,万得一致预测:社会融资规模:当月值,macro_domestic市场预期,月,亿元,Wind,中国,2022-08-08
M0061688,万得一致预测:美元/人民币,macro_domestic市场预期,月,,Wind,中国,2022-08-12
M0061682,万得一致预测:贸易差额:当月值,macro_domestic市场预期,月,亿美元,Wind,中国,2022-08-04
M5528820,中期借贷便利(MLF):利率,macro_domestic市场预期,月,%,中国人民银行,中国,2016-01-04
M0329545,中期借贷便利(MLF):利率:1年,macro_domestic市场预期,日,%,中国人民银行,中国,2022-08-15
G0003407,美国:30年期抵押贷款固定利率,,周,%,房地美,美国,2022-08-19
V7644905,美国:30年期抵押贷款固定利率与5年期抵押贷款浮动利率利差,,周,%,房地美,美国,2022-08-19
T4434744,美国:联邦资金成本指数,,月,%,房地美,美国,2022-07-16
G0003351,美国:联邦政府财政赤字(盈余为负),,月,百万美元,美国财政部,美国,2022-08-11
G1146673,美国:州和地方政府:净储蓄:未季调,,季,十亿美元,美国经济分析局,美国,2022-06-30
G1146651,美国:联邦政府:净储蓄:未季调,,季,十亿美元,美国经济分析局,美国,2022-06-30
G1109607,美国:净储蓄:私人:家庭和机构:个人储蓄:季调,,季,十亿美元,美国经济分析局,美国,2022-07-28
G1109601,美国:净储蓄:私人:季调,,季,十亿美元,美国经济分析局,美国,2022-06-29
G1109600,美国:净储蓄:季调,,季,十亿美元,美国经济分析局,美国,2022-06-29
G1112113,"美国:新证券发行:州和地方政府:所有发行,新融资及再筹资",,月,百万美元,美联储,美国,2022-07-30
